ano,uf,instituto,periodo_campo,candidato_resultado,ranking_voto_bruto,ranking_pesquisa,share_voto_nominal_calculado,share_pesquisa,erro_estimativa_pp,erro_distancia_corte_pp
2010,AC,Ibope,28-30/08,Jorge Viana PT,1.0,1.0,0.3176638550810178,0.4405594405594406,12.289558547842278,16.611538825125603
2010,AC,Ibope,28-30/08,Sergio de Oliveira Cunha (Petecão) PMN,2.0,2.0,0.308954068507099,0.26573426573426573,-4.321980277283327,0.0
2010,AC,Ibope,28-30/08,Edvaldo Magalhães PCdoB,3.0,3.0,0.1912939216907214,0.21678321678321677,2.548929509249537,6.870909786532864
2010,AC,Ibope,28-30/08,João Corrêia PMDB,4.0,4.0,0.1820881547211617,0.07692307692307693,-10.516507779808476,-6.194527502525149
2010,AL,Ibope,11-13/09,Renan Calheiros (PMDB),2.0,1.0,0.3533848806855458,0.375,2.1615119314454203,9.027777777777779
2010,AL,Ibope,11-13/09,Heloisa Helena (PSOL),3.0,2.0,0.1755288633090138,0.2847222222222222,10.919335891320841,17.785601737653202
2010,AL,Ibope,11-13/09,Benedito de Lira (PP),1.0,3.0,0.3800885217969479,0.24305555555555555,-13.703296624139236,-6.837030777806877
2010,AL,Ibope,11-13/09,Eduardo Bonfim (PCdoB),7.0,4.0,0.0058298634767101,0.027777777777777776,2.1947914301067675,9.06105727643913
2010,AL,Ibope,11-13/09,Zé Costa (PPS),4.0,5.0,0.0474597371244747,0.027777777777777776,-1.9681959346696927,4.898069911662667
2010,AL,Ibope,11-13/09,Alvaro Vasconscelos (PTB),5.0,6.0,0.0264401183372763,0.013888888888888888,-1.255122944838741,5.6111429014936185
2010,AL,Ibope,11-13/09,Afonso Lacerda (PRTB),8.0,7.0,0.0047278591485482,0.006944444444444444,0.22165852958962443,7.087924375921986
2010,AL,Ibope,11-13/09,Diógenes Paes (PCB),10.0,8.0,0.0,0.006944444444444444,0.6944444444444444,7.560710290776804
2010,AL,Ibope,11-13/09,Flavio Emilio (PTB),9.0,9.0,0.0005598282857023,0.006944444444444444,0.6384616158742143,7.504727462206574
2010,AL,Ibope,11-13/09,Paulo Nunes (PRTB),6.0,10.0,0.0059803278357803,0.006944444444444444,0.09641166086641444,6.962677507198769
2010,AL,Sensus,03-05/09,Renan Calheiros (PMDB),2.0,1.0,0.3533848806855458,0.3364485981308411,-1.6936282554704696,3.3788641265276755
2010,AL,Sensus,03-05/09,Heloisa Helena (PSOL),3.0,2.0,0.1755288633090138,0.30265995686556435,12.713109355655055,17.785601737653202
2010,AL,Sensus,03-05/09,Benedito de Lira (PP),1.0,3.0,0.3800885217969479,0.22861250898634078,-15.147601281060712,-10.075108899062569
