ano,uf,pagina,url,tabela,linha,candidato_resultado,partido_resultado,votos,percentual_publicado,percentual_original,fonte_primaria,fonte_estruturada,ranking_voto_bruto,eleito_top2_voto_bruto,share_voto_nominal_calculado,diferenca_percentual_publicado_pp
2018,AP,Eleições estaduais no Amapá em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Amap%C3%A1_em_2018,9,4,Jorge Amanajás (PPS),,52678,0.0,"0,00%",TSE/Justiça Eleitoral (conforme tabela estadual),Wikipédia,6,False,0.02875435111662057,-2.875435111662057
2018,AP,Eleições estaduais no Amapá em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Amap%C3%A1_em_2018,9,5,Bala Rocha (PSDB),,45999,8.04,"8,04%",TSE/Justiça Eleitoral (conforme tabela estadual),Wikipédia,7,False,0.025108610748574917,5.529138925142507
2018,AP,Eleições estaduais no Amapá em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Amap%C3%A1_em_2018,9,6,Guaracy Júnior (PTC),,40558,7.09,"7,09%",TSE/Justiça Eleitoral (conforme tabela estadual),Wikipédia,8,False,0.022138634203802292,4.8761365796197715
2018,AP,Eleições estaduais no Amapá em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Amap%C3%A1_em_2018,9,7,Fátima Pelaes (MDB),,40405,7.06,"7,06%",TSE/Justiça Eleitoral (conforme tabela estadual),Wikipédia,9,False,0.022055118965546416,4.854488103445358
2018,AP,Eleições estaduais no Amapá em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Amap%C3%A1_em_2018,9,8,Gilvam Borges (MDB),,2936,5.13,"5,13%",TSE/Justiça Eleitoral (conforme tabela estadual),Wikipédia,14,False,0.001602619212544098,4.96973807874559
2018,AP,Eleições estaduais no Amapá em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Amap%C3%A1_em_2018,9,9,Dr. Ricardo Santos (PSL),,11882,2.08,"2,08%",TSE/Justiça Eleitoral (conforme tabela estadual),Wikipédia,10,False,0.0064858043199758075,1.431419568002419
2018,AP,Eleições estaduais no Amapá em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Amap%C3%A1_em_2018,9,10,Joaquina Lino (PCB),,6102,0.0,"0,00%",TSE/Justiça Eleitoral (conforme tabela estadual),Wikipédia,11,False,0.0033307842080872226,-0.33307842080872224
2018,AP,Eleições estaduais no Amapá em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Amap%C3%A1_em_2018,9,11,Davi Silva (PSTU),,5641,0.99,"0,99%",TSE/Justiça Eleitoral (conforme tabela estadual),Wikipédia,12,False,0.003079146790858739,0.682085320914126
2018,AP,Eleições estaduais no Amapá em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Amap%C3%A1_em_2018,9,12,Wagner Gomes (PMN),,5604,0.98,"0,98%",TSE/Justiça Eleitoral (conforme tabela estadual),Wikipédia,13,False,0.003058950295332808,0.6741049704667191
2018,AP,Eleições estaduais no Amapá em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Amap%C3%A1_em_2018,9,16,→ Votos anulados,,163903,0.28,"0,28%",TSE/Justiça Eleitoral (conforme tabela estadual),Wikipédia,3,False,0.08946665422125862,-8.666665422125861
2018,AP,Eleições estaduais no Amapá em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Amap%C3%A1_em_2018,9,19,Eleitorado apto,,938186,938.186,938.186,TSE/Justiça Eleitoral (conforme tabela estadual),Wikipédia,1,True,0.512109982472717,886.9750017527283
2018,AM,Eleições estaduais no Amazonas em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Amazonas_em_2018,10,1,Plínio Valério PSDB,,834809,25.36,"25,36%",TSE/Justiça Eleitoral (conforme tabela estadual),Wikipédia,1,True,0.25458859895744224,-0.09885989574422438
2018,AM,Eleições estaduais no Amazonas em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Amazonas_em_2018,10,2,Eduardo Braga MDB,,607286,18.45,"18,45%",TSE/Justiça Eleitoral (conforme tabela estadual),Wikipédia,2,True,0.18520175501997377,-0.0701755019973771
2018,AM,Eleições estaduais no Amazonas em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Amazonas_em_2018,10,3,Luiz Castro REDE,,581553,17.66,"17,66%",TSE/Justiça Eleitoral (conforme tabela estadual),Wikipédia,3,False,0.17735405762215958,-0.07540576221595763
2018,AM,Eleições estaduais no Amazonas em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Amazonas_em_2018,10,4,Alfredo Nascimento PR,,569766,17.31,"17,31%",TSE/Justiça Eleitoral (conforme tabela estadual),Wikipédia,4,False,0.17375942002731887,-0.0659420027318891
2018,AM,Eleições estaduais no Amazonas em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Amazonas_em_2018,10,5,Vanessa Grazziotin PCdoB,,373948,11.36,"11,36%",TSE/Justiça Eleitoral (conforme tabela estadual),Wikipédia,5,False,0.11404153213841443,-0.044153213841444106
2018,AM,Eleições estaduais no Amazonas em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Amazonas_em_2018,10,6,Hissa Abrahão PDT,,282736,8.59,"8,59%",TSE/Justiça Eleitoral (conforme tabela estadual),Wikipédia,6,False,0.08622494740094008,-0.03249474009400788
2018,AM,Eleições estaduais no Amazonas em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Amazonas_em_2018,10,7,Luiz Fernando Santos PSOL,,27488,0.83,"0,83%",TSE/Justiça Eleitoral (conforme tabela estadual),Wikipédia,7,False,0.008382913227028187,-0.008291322702818661
