ano,uf,estado,pagina,url,status,tabelas_senado,linhas_pesquisa,observacoes_candidato,formatos,erro
2010,GO,Goiás,Eleições estaduais em Goiás em 2010,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_em_Goi%C3%A1s_em_2010,com_pesquisas,1,6,53,duas_mencoes_agregadas,
2010,MA,Maranhão,Eleições estaduais no Maranhão em 2010,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Maranh%C3%A3o_em_2010,sem_tabela_pesquisa_senado,0,0,0,,
2010,MT,Mato Grosso,Eleições estaduais em Mato Grosso em 2010,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_em_Mato_Grosso_em_2010,sem_tabela_pesquisa_senado,0,0,0,,
2010,MS,Mato Grosso do Sul,Eleições estaduais em Mato Grosso do Sul em 2010,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_em_Mato_Grosso_do_Sul_em_2010,sem_tabela_pesquisa_senado,0,0,0,,
2010,MG,Minas Gerais,Eleições estaduais em Minas Gerais em 2010,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_em_Minas_Gerais_em_2010,sem_tabela_pesquisa_senado,0,0,0,,
2010,PA,Pará,Eleições estaduais no Pará em 2010,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Par%C3%A1_em_2010,com_pesquisas,1,3,21,nao_identificado,
2010,PB,Paraíba,Eleições estaduais na Paraíba em 2010,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_na_Para%C3%ADba_em_2010,sem_tabela_pesquisa_senado,0,0,0,,
2010,PR,Paraná,Eleições estaduais no Paraná em 2010,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Paran%C3%A1_em_2010,sem_tabela_pesquisa_senado,0,0,0,,
2010,PE,Pernambuco,Eleições estaduais em Pernambuco em 2010,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_em_Pernambuco_em_2010,sem_tabela_pesquisa_senado,0,0,0,,
2010,PI,Piauí,Eleições estaduais no Piauí em 2010,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Piau%C3%AD_em_2010,sem_tabela_pesquisa_senado,0,0,0,,
2010,RJ,Rio de Janeiro,Eleições estaduais no Rio de Janeiro em 2010,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Rio_de_Janeiro_em_2010,sem_tabela_pesquisa_senado,0,0,0,,
2010,RN,Rio Grande do Norte,Eleições estaduais no Rio Grande do Norte em 2010,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Rio_Grande_do_Norte_em_2010,sem_tabela_pesquisa_senado,0,0,0,,
2010,RS,Rio Grande do Sul,Eleições estaduais no Rio Grande do Sul em 2010,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Rio_Grande_do_Sul_em_2010,com_pesquisas,1,13,82,nao_identificado,
2010,RO,Rondônia,Eleições estaduais em Rondônia em 2010,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_em_Rond%C3%B4nia_em_2010,sem_tabela_pesquisa_senado,0,0,0,,
2010,RR,Roraima,Eleições estaduais em Roraima em 2010,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_em_Roraima_em_2010,sem_tabela_pesquisa_senado,0,0,0,,
2010,SC,Santa Catarina,Eleições estaduais em Santa Catarina em 2010,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_em_Santa_Catarina_em_2010,sem_tabela_pesquisa_senado,0,0,0,,
2010,SP,São Paulo,Eleições estaduais em São Paulo em 2010,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_em_S%C3%A3o_Paulo_em_2010,sem_tabela_pesquisa_senado,0,0,0,,
2010,SE,Sergipe,Eleições estaduais em Sergipe em 2010,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_em_Sergipe_em_2010,sem_tabela_pesquisa_senado,0,0,0,,
2010,TO,Tocantins,Eleições estaduais no Tocantins em 2010,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Tocantins_em_2010,sem_tabela_pesquisa_senado,0,0,0,,
