ano,uf,pagina,url,tabela,linha,periodo_campo,instituto,margem_erro_texto,margem_erro_pp,formato,candidato_rotulo,percentual,valor_original,contexto,fonte_pesquisa,id_rodada,formato_inferido,formato_confirmado,fonte_primaria_confirmada,publicado_em,cand_norm,candidato_pesquisa,candidato_resultado,share_voto_nominal_calculado,eleito_top2_voto_bruto,ranking_voto_bruto
2018,AC,Eleições estaduais no Acre em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Acre_em_2018,1.0,2.0,17/09 a 19/09/2018,Ibope,±3%,3.0,duas_mencoes_agregadas,Kinpara (REDE),12.0,12%,"Senado Federal | Governo do Estado | Pesquisas de intenção de voto | Candidatos ao Senado Federal | Levando em conta que para o senado o eleitor irá votar duas vezes, as pesquisas possuem um universo de 200% | Senado Federal[editar | editar código]",wikipedia,,,,,,kinpara rede,Kinpara (REDE),Kinpara,0.0710703992532478,False,6.0
2018,AC,Eleições estaduais no Acre em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Acre_em_2018,1.0,2.0,17/09 a 19/09/2018,Ibope,±3%,3.0,duas_mencoes_agregadas,Pedraza (PSL),1.0,1%,"Senado Federal | Governo do Estado | Pesquisas de intenção de voto | Candidatos ao Senado Federal | Levando em conta que para o senado o eleitor irá votar duas vezes, as pesquisas possuem um universo de 200% | Senado Federal[editar | editar código]",wikipedia,,,,,,pedraza psl,Pedraza (PSL),Pedrazza,0.0127700151841279,False,7.0
2018,AL,Eleições estaduais em Alagoas em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_em_Alagoas_em_2018,1.0,1.0,13/08 a 15/08/2018,Ibope,±3%,3.0,duas_mencoes_agregadas,Calheiros (MDB),33.0,33%,"Senado Federal | Governo do Estado | Pesquisas de intenção de voto | Deputados Federais eleitos | Levando em conta que para o senado o eleitor irá votar duas vezes, as pesquisas possuem um universo de 200% | Senado Federal[editar | editar código]",wikipedia,,,,,,calheiros mdb,Calheiros (MDB),,,,
2018,AL,Eleições estaduais em Alagoas em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_em_Alagoas_em_2018,1.0,1.0,13/08 a 15/08/2018,Ibope,±3%,3.0,duas_mencoes_agregadas,Cunha (PSDB),19.0,19%,"Senado Federal | Governo do Estado | Pesquisas de intenção de voto | Deputados Federais eleitos | Levando em conta que para o senado o eleitor irá votar duas vezes, as pesquisas possuem um universo de 200% | Senado Federal[editar | editar código]",wikipedia,,,,,,cunha psdb,Cunha (PSDB),Cunha,0.1719122269567357,True,2.0
2018,AL,Eleições estaduais em Alagoas em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_em_Alagoas_em_2018,1.0,1.0,13/08 a 15/08/2018,Ibope,±3%,3.0,duas_mencoes_agregadas,Lira (PP),25.0,25%,"Senado Federal | Governo do Estado | Pesquisas de intenção de voto | Deputados Federais eleitos | Levando em conta que para o senado o eleitor irá votar duas vezes, as pesquisas possuem um universo de 200% | Senado Federal[editar | editar código]",wikipedia,,,,,,lira pp,Lira (PP),,,,
2018,AL,Eleições estaduais em Alagoas em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_em_Alagoas_em_2018,1.0,1.0,13/08 a 15/08/2018,Ibope,±3%,3.0,duas_mencoes_agregadas,Quintella (PR),18.0,18%,"Senado Federal | Governo do Estado | Pesquisas de intenção de voto | Deputados Federais eleitos | Levando em conta que para o senado o eleitor irá votar duas vezes, as pesquisas possuem um universo de 200% | Senado Federal[editar | editar código]",wikipedia,,,,,,quintella pr,Quintella (PR),Quintella,0.0948148696904175,False,4.0
2018,AL,Eleições estaduais em Alagoas em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_em_Alagoas_em_2018,1.0,1.0,13/08 a 15/08/2018,Ibope,±3%,3.0,duas_mencoes_agregadas,Cabral (PATRI),10.0,10%,"Senado Federal | Governo do Estado | Pesquisas de intenção de voto | Deputados Federais eleitos | Levando em conta que para o senado o eleitor irá votar duas vezes, as pesquisas possuem um universo de 200% | Senado Federal[editar | editar código]",wikipedia,,,,,,cabral patri,Cabral (PATRI),Cabral,0.0022170880835737,False,9.0
2018,AL,Eleições estaduais em Alagoas em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_em_Alagoas_em_2018,1.0,1.0,13/08 a 15/08/2018,Ibope,±3%,3.0,duas_mencoes_agregadas,Cícero (PSOL),7.0,7%,"Senado Federal | Governo do Estado | Pesquisas de intenção de voto | Deputados Federais eleitos | Levando em conta que para o senado o eleitor irá votar duas vezes, as pesquisas possuem um universo de 200% | Senado Federal[editar | editar código]",wikipedia,,,,,,cicero psol,Cícero (PSOL),,,,
2018,AL,Eleições estaduais em Alagoas em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_em_Alagoas_em_2018,1.0,2.0,17/09 a 19/09/2018,Ibope,±3%,3.0,duas_mencoes_agregadas,Calheiros (MDB),39.0,39%,"Senado Federal | Governo do Estado | Pesquisas de intenção de voto | Deputados Federais eleitos | Levando em conta que para o senado o eleitor irá votar duas vezes, as pesquisas possuem um universo de 200% | Senado Federal[editar | editar código]",wikipedia,,,,,,calheiros mdb,Calheiros (MDB),,,,
2018,AL,Eleições estaduais em Alagoas em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_em_Alagoas_em_2018,1.0,2.0,17/09 a 19/09/2018,Ibope,±3%,3.0,duas_mencoes_agregadas,Cunha (PSDB),37.0,37%,"Senado Federal | Governo do Estado | Pesquisas de intenção de voto | Deputados Federais eleitos | Levando em conta que para o senado o eleitor irá votar duas vezes, as pesquisas possuem um universo de 200% | Senado Federal[editar | editar código]",wikipedia,,,,,,cunha psdb,Cunha (PSDB),Cunha,0.1719122269567357,True,2.0
2018,AL,Eleições estaduais em Alagoas em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_em_Alagoas_em_2018,1.0,2.0,17/09 a 19/09/2018,Ibope,±3%,3.0,duas_mencoes_agregadas,Lira (PP),23.0,23%,"Senado Federal | Governo do Estado | Pesquisas de intenção de voto | Deputados Federais eleitos | Levando em conta que para o senado o eleitor irá votar duas vezes, as pesquisas possuem um universo de 200% | Senado Federal[editar | editar código]",wikipedia,,,,,,lira pp,Lira (PP),,,,
2018,AL,Eleições estaduais em Alagoas em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_em_Alagoas_em_2018,1.0,2.0,17/09 a 19/09/2018,Ibope,±3%,3.0,duas_mencoes_agregadas,Quintella (PR),18.0,18%,"Senado Federal | Governo do Estado | Pesquisas de intenção de voto | Deputados Federais eleitos | Levando em conta que para o senado o eleitor irá votar duas vezes, as pesquisas possuem um universo de 200% | Senado Federal[editar | editar código]",wikipedia,,,,,,quintella pr,Quintella (PR),Quintella,0.0948148696904175,False,4.0
