ano,uf,pagina,url,status,tabelas_resultado,candidatos,erro
2018,AC,Eleições estaduais no Acre em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Acre_em_2018,ok_escolhida_entre_duplicadas,2,7,
2018,AL,Eleições estaduais em Alagoas em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_em_Alagoas_em_2018,ok_escolhida_entre_duplicadas,2,10,
2018,AP,Eleições estaduais no Amapá em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Amap%C3%A1_em_2018,ok_escolhida_entre_duplicadas,2,14,
2018,AM,Eleições estaduais no Amazonas em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Amazonas_em_2018,ok,1,8,
2018,BA,Eleições estaduais na Bahia em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_na_Bahia_em_2018,ok,1,11,
2018,CE,Eleições estaduais no Ceará em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Cear%C3%A1_em_2018,ok,1,12,
2018,DF,Eleições distritais no Distrito Federal em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_distritais_no_Distrito_Federal_em_2018,ok_escolhida_entre_duplicadas,2,19,
2018,ES,Eleições estaduais no Espírito Santo em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Esp%C3%ADrito_Santo_em_2018,ok,1,11,
2018,GO,Eleições estaduais em Goiás em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_em_Goi%C3%A1s_em_2018,ok,1,12,
2018,MA,Eleições estaduais no Maranhão em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Maranh%C3%A3o_em_2018,ok,1,12,
2018,MT,Eleições estaduais em Mato Grosso em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_em_Mato_Grosso_em_2018,ok,1,11,
2018,MS,Eleições estaduais em Mato Grosso do Sul em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_em_Mato_Grosso_do_Sul_em_2018,ok,1,14,
2018,MG,Eleições estaduais em Minas Gerais em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_em_Minas_Gerais_em_2018,ok,1,17,
2018,PA,Eleições estaduais no Pará em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Par%C3%A1_em_2018,ok,1,18,
2018,PB,Eleições estaduais na Paraíba em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_na_Para%C3%ADba_em_2018,ok,1,7,
2018,PR,Eleições estaduais no Paraná em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Paran%C3%A1_em_2018,ok_escolhida_entre_duplicadas,2,15,
2018,PE,Eleições estaduais em Pernambuco em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_em_Pernambuco_em_2018,ok,1,12,
2018,PI,Eleições estaduais no Piauí em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Piau%C3%AD_em_2018,ok,1,17,
2018,RJ,Eleições estaduais no Rio de Janeiro em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Rio_de_Janeiro_em_2018,ok,1,17,
2018,RN,Eleições estaduais no Rio Grande do Norte em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Rio_Grande_do_Norte_em_2018,ok_escolhida_entre_duplicadas,2,15,
2018,RS,Eleições estaduais no Rio Grande do Sul em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Rio_Grande_do_Sul_em_2018,ok,1,13,
2018,RO,Eleições estaduais em Rondônia em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_em_Rond%C3%B4nia_em_2018,ok,1,16,
2018,RR,Eleições estaduais em Roraima em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_em_Roraima_em_2018,ok,1,11,
2018,SC,Eleições estaduais em Santa Catarina em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_em_Santa_Catarina_em_2018,ok,1,15,
2018,SP,Eleições estaduais em São Paulo em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_em_S%C3%A3o_Paulo_em_2018,ok_escolhida_entre_duplicadas,2,22,
2018,SE,Eleições estaduais em Sergipe em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_em_Sergipe_em_2018,ok_escolhida_entre_duplicadas,2,13,
2018,TO,Eleições estaduais no Tocantins em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Tocantins_em_2018,ok_escolhida_entre_duplicadas,2,9,
2010,AC,Eleições estaduais no Acre em 2010,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Acre_em_2010,ok,1,4,
2010,AL,Eleições estaduais em Alagoas em 2010,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_em_Alagoas_em_2010,ok,1,10,
2010,AP,Eleições estaduais no Amapá em 2010,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Amap%C3%A1_em_2010,ok,1,7,
2010,AM,Eleições estaduais no Amazonas em 2010,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Amazonas_em_2010,ok,1,7,
2010,BA,Eleições estaduais na Bahia em 2010,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_na_Bahia_em_2010,ok,1,10,
2010,CE,Eleições estaduais no Ceará em 2010,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Cear%C3%A1_em_2010,ok,1,8,
2010,DF,Eleições distritais no Distrito Federal em 2010,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_distritais_no_Distrito_Federal_em_2010,ok,1,10,
2010,ES,Eleições estaduais no Espírito Santo em 2010,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Esp%C3%ADrito_Santo_em_2010,ok,1,4,
2010,GO,Eleições estaduais em Goiás em 2010,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_em_Goi%C3%A1s_em_2010,ok,1,9,
