ano,uf,candidato_pesquisa,candidato_resultado
2010,MG,Marilda Ribeiro (Psol),Marilda Ribeiro PSOL
2010,MG,Miguel Martini (PHS),Miguel Martini PHS
2010,MG,Rafael Pimenta (PCB),Rafael Sales Pimenta PCB
2010,MG,José João da Silva (PSTU),José João da Silva PSTU
2010,MG,Betão (PCO),
2010,MG,Efraim Moura (PSTU),Efraim Gomes de Moura PSTU
2010,MG,Mineirinho (Psol),Miguel Martini PHS
2010,MS,Delcídio do Amaral (PT),Delcídio do Amaral PT
2010,MS,Dagoberto Nogueira (PDT),Dagoberto Nogueira PDT
2010,MS,Valdemir Moka (PMDB),Waldemir Moka PMDB
2010,MS,Murilo Zaiuth (DEM),Murilo Zauith DEM
2010,MS,Jorge Batista (Psol),
2010,MS,02/09 - Delcídio do Amaral (PT),Delcídio do Amaral PT
2010,MT,Blairo Maggi (PR),Blairo Maggi PR
2010,MT,Carlos Abicalil (PT),Carlos Abicalil PT
2010,MT,Antero Paes de Barros (PSDB),Antero Paes de Barros PSDB
2010,MT,Pedro Taques (PDT),Pedro Taques PDT
2010,MT,Procurador Mauro (Psol),
2010,MT,Jorge Yanai (DEM),Jorge Yanai DEM
2010,MT,Naildo (PV),Naildo da Silva Lopes PV
2010,MT,02/09 - Blairo Maggi (PR),Blairo Maggi PR
2010,PA,Jader Barbalho (PMDB) Impugnado,Jader Barbalho (PMDB)
2010,PA,Flexa Ribeiro (PSDB),Flexa Ribeiro (PSDB)
2010,PA,Paulo Rocha (PT) Impugnado,Paulo Braga (PSTU)
2010,PA,Marinor Brito (PSOL),Marinor Brito (PSOL)
2010,PA,Paulo Braga (PSTU),Paulo Braga (PSTU)
2010,PA,Abel Ribeiro (PSTU),Abel Ribeiro (PSTU)
2010,PA,João Augusto (PSOL),João Augusto (PSOL)
2010,PA,Jader Barbalho (PMDB),Jader Barbalho (PMDB)
2010,PA,Paulo Rocha (PT),Paulo Braga (PSTU)
2010,PA,Marinor Brito (Psol),Marinor Brito (PSOL)
2010,PA,Professora Neide (PSB),
2010,PA,João Augusto (Psol),João Augusto (PSOL)
2010,PA,Yamada (PTB),
2010,PA,Savanas (PV),
2010,PB,Cássio Cunha Lima (PSDB),
2010,PB,Vitalzinho (PMDB),
2010,PB,Efraim Morais (DEM),
2010,PB,Wilson Santiago (PMDB),
2010,PB,Vital Farias (PCB),
2010,PB,Edgard Malagodi (Psol),
2010,PB,Marcos Dias (Psol),
2010,PB,Maria das Dores (PCO),Jocimar Oliveira da Silva PCB
2010,PB,"Vitalzinho (PMDB)17,8%, Efraim Morais (DEM)",
2010,PE,Humberto Costa (PT),Humberto Costa PT
2010,PE,Armando Monteiro Neto (PTB),Armando Monteiro PTB
2010,PE,Marco Maciel (DEM) tem,Marco Maciel DEM
2010,PE,Raul Jungmann (PPS),Raul Jungmann PPS
2010,PE,Renê Patriota (PV),Renê Patriota PV
2010,PE,Hélio Cabral (PSTU),Helio Cabral PSTU
2010,PE,Simone Fontana (PSTU),Simone Fontana PSTU
2010,PE,Lairson Lucena (PRTB),Lairson Lucena PRTB
2010,PE,Danúbio Aguiar (PCB),Danúbio Aguiar PCB
2010,PE,Jerônimo Ribeiro (Psol),Armando Monteiro PTB
2010,PI,Wellington Dias (PT),Wellington Dias PT
2010,PI,"Ciro Nogueira Filho (PP)29,7%, Mão Santa (PSC)",Ciro Nogueira PP
2010,PI,Heráclito Fortes (DEM),Heráclito Fortes DEM
2010,PI,Antonio José Medeiros (PT),Antônio José Medeiros PT
2010,PI,Sargento R. Silva (PP),Sgt. R. Silva PP
2010,PI,Toim Dufrango (PSL),Toim do Frango PSL
2010,PI,Pastor Moisés Pinto (PMN),Moisés Franco Pinto PMN
2010,PI,Antonio Florentino (PV),Antônio Florentino PV
2010,PI,Gervásio Santos (PSTU),Mão Santa PSC
2010,PI,Marineide Albuquerque (Psol),
2010,PI,Zilton Duarte (Psol),Wellington Dias PT
2010,PI,Mão Santa (PSC),Mão Santa PSC
2010,PI,Ciro Nogueira Filho (PP),Ciro Nogueira PP
2010,PR,Roberto Requião (PMDB),Roberto Requião PMDB
2010,PR,Gleisi Hoffman (PT),Gleisi Hoffmann PT
2010,PR,Gustavo Fruet (PSDB),Gustavo Fruet PSDB
2010,PR,Ricardo Barros (PP),Ricardo Barros PP
2010,PR,Rubens Hering (PV),Rubens Hering PV
2010,PR,Gilberto (PSB),Gilberto Araújo PCB
2010,PR,Piva (Psol),Luiz Romeiro Piva PSOL
2010,PR,Valmor (Psol),Valmor Venturini PSOL
2010,PR,Sargento QE Pedroso (PRTB),Ademir Pedroso PRTB
2010,PR,Sargento Jensen (PRTB),Rivaldir Jensen PRTB
2010,PR,Irineu Fritz (PT do B),Irineu Fritz PTdoB
2010,RJ,Lindbergh Farias (PT),Lindbergh Farias PT
2010,RJ,Marcelo Crivella (PRB),Marcelo Crivella PRB
2010,RJ,Cesar Maia (DEM),Cesar Maia DEM
2010,RJ,Jorge Picciani (PMDB),Jorge Picciani PMDB
2010,RJ,Waguinho (PTdoB),Waguinho PTdoB
2010,RJ,Marcelo Cerqueira (PPS),Marcelo Cerqueira PPS
2010,RJ,Milton Temer (Psol),Milton Temer PSOL
2010,RJ,Carlos Dias (PTdoB),Carlos Dias PTdoB
2010,RJ,Wladimir Mutt (PCB),Wladimir Mutt PCB
2010,RJ,Claiton (PSTU),Claiton PSTU
2010,RJ,Heitor (PSTU),Heitor PSTU
2010,RJ,Waguinho (PT do B),Waguinho PTdoB
2010,RN,Garibaldi Alves Filho (PMDB),Garibaldi Alves Filho PMDB
2010,RN,José Agripino (DEM),José Agripino Maia DEM
2010,RN,Vilma (PSB),
2010,RN,Hugo Manso (PT),Hugo Manso PT
2010,RN,Sávio (PC do B),
2010,RN,Dr. Joanilson (PSDC),Joanilson Rego PSDC
2010,RN,Alexandre Guedes (PSTU),
2010,RN,Dário (PSTU),
2010,RN,Ronaldo Garcia (Psol),Ronaldo Garcia PSOL
2010,RN,Valdemar Soares (Psol),
2010,RN,Marconio Cruz (PRTB),
2010,RN,"Pr. Clóvis Costa (PTC) 0,3, Dário (PSTU)",
2010,RN,Sávio (PCdoB),Sávio Ximenes PCdoB
2010,RO,Valdir Raupp (PMDB),Valdir Raupp PMDB
2010,RO,Ivo Cassol (PP),Ivo Cassol PP
2010,RO,Fátima Cleide (PT),Fátima Cleide PT
2010,RO,Melki Donadon (PHS),Melki Donadon PHS
2010,RO,Agnaldo Muniz (PSC),Agnaldo Muniz PSC
2010,RO,Aluizio Vidal (Psol),Aluizio Vidal PSOL
2010,RO,Pimenta de Rondônia (Psol),Pimenta de Rondônia PSOL
2010,RR,Romero Jucá (PMDB),Romero Jucá PMDB
2010,RR,Ângela Portela (PT),Ângela Portela PT
2010,RR,Marluce Pinto (PSDB),Marluce Pinto PSDB
2010,RR,Telmário Mota (PDT),Telmário Mota PDT
2010,RR,Hiran Gonçalves (PHS),Hiran Gonçalves PHS
2010,RR,Aimberê Freitas (PV),Aimberê Freitas PV
2010,RR,Jorge Schwinden (Psol),Jorge Schwinden PSOL
2010,RR,Leopoldo Junior (PCO),Leopoldo Junior PCO
2010,RR,Lauro Barreto (PHS),Lauro Barreto PHS
2010,RS,Germano Rigotto (PMDB),Germano Rigotto PMDB
2010,RS,Paulo Paim (PT),Paulo Paim PT
2010,RS,Ana Amélia Lemos (PP),Ana Amélia Lemos PP
2010,RS,Abigail Pereira (PCdoB),Abigail Pereira PCdoB
2010,RS,Bernadete Menezes (PSOL),Berna Menezes PSOL
2010,RS,José Schneider (PMN),José Schneider PMN
2010,RS,Luiz Carlos Lucas (PSOL),
2010,RS,Marcos Monteiro (PV),Marcos Monteiro PV
2010,RS,Roberto Gross (PTC),Roberto Gross PTC
2010,RS,Vera Guasso (PSTU),Vera Guasso PSTU
2010,RS,Luís Carlos Draehmer (PCB),
2010,RS,Abgail Pereira (PCdoB),Abigail Pereira PCdoB
2010,RS,Professor Marcos Monteiro (PV),Marcos Monteiro PV
2010,RS,Lucas (Psol),
2010,RS,Berna Menezes (Psol),Berna Menezes PSOL
2010,SC,Luiz Henrique da Silveira (PMDB),Luiz Henrique da Silveira PMDB
2010,SC,Paulo Bauer (DEM),Paulo Bauer PSDB
2010,SC,Claudio Vignatti (PT),Cláudio Vignatti PT
2010,SC,Hugo Biehl (PP),Hugo Biehl PP
2010,SC,Ghizoni (PC do B),João Ghizoni PCdoB
2010,SC,Joaninha (PSTU),João Ghizoni PCdoB
2010,SC,Beth Tiscoski (PP),Elizabeth Tiscoski PP
2010,SC,Fabiano Piovezan (PV),Fabiano Piovezan PV
2010,SC,Alex (PSTU),Alex Sander da Silva PSTU
2010,SC,Professor Wesley (PPS),
2010,SC,Paulo Afonso (Psol),Paulo Afonso Piovezan PSOL
2010,SE,Antônio Carlos Valadares (PSB),Antônio Carlos Valadares PSB
2010,SE,Eduardo Amorim (PSC),Eduardo Amorim PSC
2010,SE,Albano Franco (PSDB),Albano Franco PSDB
2010,SE,José Carlos Machado (DEM),José Carlos Machado DEM
2010,SE,Emanuel Cacho (PPS),Emanuel Cacho PPS
2010,SE,Antônio Leite (PV),Antônio Leite PV
2010,SE,Atamario Cordeiro (Psol),Atamiro Cordeiro PSOL
2010,SE,Gugu Liberato (PRTB),
2010,SE,João Augusto Nascimento (PSDC),João Augusto Nascimento PSDC
2010,SE,Lourdinha (PSTU),
2010,SE,Paulinho da União Tur (PRTB),Paulinho da União Tur PRTB
2010,SE,Professor Lula (PCB),Professor Lula PCB
2010,SE,Professor Marques (PCB),Professor Lula PCB
2010,SP,Netinho de Paula (PCdoB),Netinho de Paula PCdoB
2010,SP,Marta Suplicy (PT),Marta Suplicy PT
2010,SP,Aloysio Nunes Ferreira (PSDB),Aloysio Nunes PSDB
2010,SP,Romeu Tuma (PTB),Romeu Tuma PTB
2010,SP,Ciro Moura (PTC),Ciro Moura PTC
2010,SP,Moacyr Franco (PSL),Moacyr Franco PSL
2010,SP,Ricardo Young (PV),Ricardo Young PV
2010,SP,Ana Luiza (PSTU),Ana Luiza de Figueiredo PSTU
2010,SP,Serpa (PSB),Alexandre Serpa PSB
2010,SP,Marcelo Henrique (Psol),Marcelo Henrique PSOL
2010,SP,Afonso Teixeira (PCO),Afonso Teixeira Filho PCO
2010,SP,Dirceu Travesso (PSTU),
2010,TO,João Ribeiro (PR),João Ribeiro PR
2010,TO,Marcelo Miranda (PMDB),Marcelo Miranda PMDB
2010,TO,Vicentinho Alves (PR),Vicentinho Alves PR
2010,TO,Paulo Mourão (PT),Paulo Mourão PT
2018,AC,Petecão (PSD),Petecão
2018,AC,Bittar (MDB),Bittar
2018,AC,Viana (PT),Viana
2018,AC,Amorim (PT),Amorim
2018,AC,Kinpara (REDE),Kinpara
2018,AC,Pedraza (PSL),Pedrazza
2018,AL,Calheiros (MDB),
2018,AL,Cunha (PSDB),Cunha
2018,AL,Lira (PP),
2018,AL,Quintella (PR),Quintella
2018,AL,Cabral (PATRI),Cabral
2018,AL,Cícero (PSOL),
2018,AM,Braga (MDB),Eduardo Braga MDB
2018,AM,Vanessa (PCdoB),Vanessa Grazziotin PCdoB
2018,AM,Plinio (PSDB),Plínio Valério PSDB
2018,AM,Alfredo (PR),Alfredo Nascimento PR
2018,AM,Hissa (PDT),Hissa Abrahão PDT
2018,AM,Castro (REDE),Luiz Castro REDE
2018,AM,Fernando (PSOL),Luiz Fernando Santos PSOL
2018,AM,Rondinely (PSOL),Rondinely Fonseca PSOL
2018,AP,Randolfe (REDE),Randolfe (REDE)
2018,AP,Janete (PSB),Janete Capiberibe (PSB)
2018,AP,Lucas (PTB),Lucas Barreto (PTB)
2018,AP,Gilvam (MDB),Gilvam Borges (MDB)
2018,AP,Palaes (MDB),Fátima Pelaes (MDB)
2018,AP,Amanajás (PPS),Jorge Amanajás (PPS)
2018,BA,Wagner (PT),Jaques Wagner (PT)
2018,BA,Lázaro (PSC),Irmão Lázaro (PSC)
2018,BA,Jutahy (PSDB),Jutahy Júnior (PSDB)
2018,BA,Coronel (PSD),Angelo Coronel (PSD)
2018,BA,Vianna (MDB),Jorge Viana (MDB)
2018,BA,Nogueira (PSOL),Fábio Nogueira (PSOL)
2018,BA,Maurício (DC),Marcos Maurício (DC)
2018,BA,Rangel (PSL),Comadante Rangel (PSL)
2018,BA,José (REDE),Francisco José (REDE)
2018,BA,Santos (PCO),Adroaldo dos Santos (PCO)
2018,BA,Cotrim (PRTB),Celsinho Cotrim (PRTB)
2018,CE,Cid (PDT),Cid Gomes
2018,CE,Eunício (MDB),Eunício
2018,CE,Girão (PROS),Girão
2018,CE,Mayra (PSDB),Mayra
2018,CE,Ribeiro (PSL),Pinheiro
2018,CE,Simões (PSOL),Simões
2018,CE,Karina (PSOL),Anna Karina
2018,CE,Saraiva (REDE),Saraiva
2018,CE,Pinheiro (PSL),Pinheiro
2018,CE,Burns (PTC),Burns[nota 4]
2018,CE,Barroso (PCO),Barroso[nota 5]
2018,CE,Magela (PSTU),Mayra
2018,CE,Bardawil (PODE),Saraiva
2018,DF,Leila (PSB),Leila
2018,DF,Buarque (PPS),Marques
2018,DF,Izalci (PSDB),Izalci
2018,DF,Leite (REDE),Leila
2018,DF,Wasny (PT),Wasny
2018,DF,Faraj (PRP),Faraj
2018,DF,Marques (SD),Marques
2018,DF,Neves (PT),Neves
2018,DF,Roque (NOVO),Roque
2018,DF,Queiroz (PP),Queiroz
2018,DF,Átila (PRTB),Átila
2018,DF,Ribeiro (PMN),Ribeiro
2018,DF,Pereira (PSOL),Ferraz
2018,DF,Sant'Anna (PSOL),Sant'anna
2018,DF,Amábile (PR),Amábile
2018,DF,Matoso (PCO),Matoso
2018,DF,Ferraz (PPL),Ferraz
2018,DF,Teixeira (PSDB),Ribeiro
2018,DF,Walisson (PTB),Wasny
2018,DF,Robson (PSTU),Robson
2018,ES,Malta (PR),Magno Malta (PR)
2018,ES,Ferraço (PSDB),Ricardo Ferraço (PSDB)
2018,ES,Contarato (REDE),Fabiano Contarato (REDE)
2018,ES,Marcos (PPS),Marcos do Val (PPS)
2018,ES,Tavares (PT),Célia Tavares (PT)
2018,ES,Ribeiro (PCB),Mauro Ribeiro (PCB)
2018,ES,Assis (PSL),Subtenente Assis (PSL)
2018,ES,Bernardo (PMB),Rogerio Bernardo (PMB)
2018,ES,Carnelli (PTB),Helder Carnielli (PTB)
2018,ES,Pincelli (NOVO),Ulisses Pincelli (NOVO)
2018,ES,Katrine (PSOL),Liu Katrine (PSOL)
2018,GO,Perillo (PSDB),Marconi Perillo PSDB
2018,GO,Lúcia (PSB),Lúcia Vânia PSB
2018,GO,Kajuru (PRP),Jorge Kajuru PRP
2018,GO,Cardoso (PP),Vanderlan Cardoso PP
2018,GO,Bueno (PT),Luis Cesar Bueno PT
2018,GO,Magda (PCB),Magda Borges PCB
2018,GO,Wilder (DEM),Wilder Morais DEM
2018,MA,Weverton (PDT),Weverton Rocha
2018,MA,Eliziane (PPS),Eliziane Gama
2018,MA,Lobão (MDB),Edison Lobão
2018,MA,Sarney Filho (PV),Sarney Filho
2018,MA,Zé Reinaldo (PSDB),Zé Reinaldo
2018,MA,Almeida (PSDB),Alexandre Almeida
2018,MA,Samoel (PSL),Samoel de Itapecuru
2018,MA,Saulo Pinto (PSOL),Saulo Pinto
2018,MA,Iêgo (PCB),Iêgo Brunno
2018,MA,Saulo Arcangeli (PSTU),Saulo Arcangeli
2018,MA,Preta Lu (PSTU),Preta Lu
2018,MA,B/N V1,
2018,MA,B/N V2,
2018,MG,Dilma (PT),Dilma Rousseff (PT)
2018,MG,Viana (PHS),Carlos Viana (PHS)
2018,MG,Dinis (SD),Dinis Pinheiro (SD)
2018,MG,Pacheco (DEM),Rodrigo Pacheco (DEM)
2018,MG,Lacerda (PPL),Coronel Lacerda (PPL)
2018,MG,Cherem (PDT),Fábio Cherem (PDT)
2018,MG,Paiva (NOVO),Rodrigo Paiva (NOVO)
2018,MG,Corrêa (PT),Miguel Corrêa (PT)
2018,MG,Bispo (PPL),Bispo Damasceno (PPL)
2018,MG,Lopes (PCB),Tulio Lopes (PCB)
2018,MG,Vanessa (PSTU),Vanessa Portugal (PSTU)
2018,MG,Alves (PCO),Ana Alves (PCO)
2018,MG,Duda (PSOL),Duda Salabert (PSOL)
2018,MG,Kaká (REDE),Kaka Menezes (REDE)
2018,MG,Reis (AVANTE),
2018,MG,B/N,
