ano,uf,candidato_pesquisa,candidato_resultado
2018,RJ,Bolsonaro (PSL),Flávio Bolsonaro
2018,RJ,Alencar (PSOL),Chico Alencar
2018,RJ,Teixeira (REDE),Miro Teixeira
2018,RJ,Everaldo (PSC),Pastor Everaldo
2018,RJ,Arolde (PSD),Arolde de Oliveira
2018,RJ,Garcia (PSTU),Cyro Garcia
2018,RJ,Nascimento (PRTB),Mattos Nascimento
2018,RJ,Lopes (PRB),Eduardo Lopes
2018,RJ,Bonifácio (PDT),José Bonifácio
2018,RJ,Aspásia (PSDB),Aspásia Camargo
2018,RJ,Barçante (PCB),Marta Barçante
2018,RJ,Fagundes (PCO),Fernando Fagundes
2018,RJ,Guedes (PSTU),Samantha Guedes
2018,RJ,Burcci (PMB),Gabrielle Burcci
2018,RJ,Cristie (PATRI),Walter Cristie
2018,RN,Styvenson (REDE),Styvenson Valentim REDE
2018,RN,Maia (PHS),Zenaide Maia PHS
2018,RN,Garibaldi (MDB),Garibaldi Alves Filho MDB
2018,RN,Melo (PSDB),Geraldo Melo PSDB
2018,RN,Jácome (PODE),Antônio Jácome PODE
2018,RN,Motta (PT),Alexandre Motta PT
2018,RN,Magnólia (SD),Magnólia Figueiredo SD
2018,RN,Célia (PSTU),Ana Celia PSTU
2018,RN,Gurgel (PSOL),Telma Gurgel PSOL
2018,RN,Morais (PSTU),João Morais PSTU
2018,RN,Marinho (PRTB),Jurandir Marinho PRTB
2018,RN,Costa (PRTB),Levi Costa PRTB
2018,RN,Napoleão (REDE),João Napoleão REDE
2018,RN,Joanilson (DC),Joanílson Rêgo DC
2018,RN,Lailson (PSOL),Laílson Almeida PSOL
2018,RO,Moura (MDB),Confúcio Moura MDB
2018,RO,Cleide (PT),Fátima Cleide PT
2018,RO,Raupp (MDB),Valdir Raupp MDB
2018,RO,Rogério (DEM),Marcos Rogério DEM
2018,RO,Magno (PP),Carlos Magno PP
2018,RO,Edésio (PRB),Edésio Fernandes PRB
2018,RO,Vidal (REDE),Aluízio Vidal Flor REDE
2018,RO,Pires (PSB),Jesualdo Pires PSB
2018,RO,Jaime (PSL),Jaime Bagattoli PSL
2018,RO,Paz (PSTU),
2018,RO,Bosco (PPS),João Bosco Costa PPS
2018,RO,Jurado (NOVO),Fabrício Jurado NOVO
2018,RO,Cadillac (PSTU),
2018,RO,Wilson (PRTB),Ted Wilson PRTB
2018,RO,Terrinha (PMB),
2018,RO,Dettoni (PMB),Josemir Dettoni PMB
2018,RR,Mecias (PRB),Mecias de Jesus PRB
2018,RR,Portela (PDT),Ângela Portela PDT
2018,RR,Chico (DEM),Chico Rodrigues DEM
2018,RR,Jucá (MDB),Romero Jucá MDB
2018,RR,Castro (PR),Luciano Castro PR
2018,RR,Ramalho (PSL),Pastor Isamar Ramalho PSL
2018,RR,Martins (PTB),Júlio Martins PTB
2018,RR,Santos (PATRI),Christian Santos PATRI
2018,RR,Telma (PCB),Telma Taurepang PCB
2018,RR,Leite (PV),Rudson Leite PV
2018,RR,Lourival (PSTU),Lourival PSTU
2018,RS,Ana Amélia (PP),Ana Varela (PODE)
2018,RS,Beto (PSB),Beto Albuquerque (PSB)
2018,RS,Paim (PT),Paulo Paim (PT)
2018,RS,Vais (NOVO),
2018,RS,NS / NR,
2018,RS,Abigail (PCdoB),Abigail Pereira (PCdoB)
2018,RS,Carmen (PSL),Carmen Flores (PSL)
2018,RS,Fogaça (MDB),José Fogaça (MDB)
2018,RS,Heinze (PP),Luiz Carlos Heinze (PP)
2018,RS,Bernd (PPS),Mario Bernd (PPS)
2018,RS,Sandra (SD),Sandra Weber (SD)
2018,SC,Raimundo Colombo (PSD),Raimundo Colombo PSD
2018,SC,Esperidião Amin (PP),Esperidião Amin PP
2018,SC,Paulo Bauer (PSDB),Paulo Bauer PSDB
2018,SC,Jorginho Mello (PR),Jorginho Mello PR
2018,SC,Ideli Salvatti (PT),Ideli Salvatti PT
2018,SC,Roberto Salum (PMN),Roberto Salum PMN
2018,SC,Antônio Campos (PSOL),Antônio Campos PSOL
2018,SC,Pedro Cabral (PSOL),Pedro Cabral PSOL
2018,SC,Andréa Carvalho (PCO),Pedro Cabral PSOL
2018,SC,Lucas Esmeraldino (PSL),Lucas Esmeraldino PSL
2018,SC,Lédio Rosa (PT),Lédio Andrade PT
2018,SC,Ricardo Lautert (PSTU),Ricardo Lautert PSTU
2018,SC,Diego Mezzogiorno (REDE),Diego Mezzogiorno REDE
2018,SC,Miriam Prochnow (REDE),Miriam Prochnow REDE
2018,SE,Valadares (PSB),Valadares
2018,SE,André Moura (PSC),André
2018,SE,Jackson Barreto (MDB),Jackson
2018,SE,Pastor Heleno (PRB),Heleno
2018,SE,Rogério Carvalho (PT),Rogério
2018,SE,Delegado Alessandro (REDE),Alessandro
2018,SE,Sônia Meire (PSOL),Sônia
2018,SE,Henry Clay (PPL),
2018,SE,Professor Jossimário (PSOL),Jossimário
2018,SE,Adelson Alves (PATRI),
2018,SE,Cadu Silva (PSL),Cadu
2018,SE,Reynaldo Nunes (PV),Reynaldo
2018,SE,Clarckson Messias (PSTU),Clarckson
2018,TO,Vicentinho (PR),Vicentinho Alves PR
2018,TO,Irajá (PSD),Irajá Abreu PSD
2018,TO,Mourão (PT),Paulo Mourão PT
2018,TO,Halum (PRB),César Halum PRB
2018,TO,Ataídes (PSDB),Ataídes Oliveira PSDB
2018,TO,Jorge (PSL),Antônio Jorge PSL
2018,TO,Aires (PSOL),Melk Aires PSOL
2018,TO,Farlei (PSL),Farlei Meyer PSL
2018,TO,Siqueira (DEM),
2018,TO,Gomes (SD),Eduardo Gomes SD
