id_rodada,ano,uf,instituto,periodo_campo,soma_percentuais_candidatos,numero_candidatos,formato_inferido,formato_confirmado,fonte_primaria_confirmada,publicado_em,url,linha_original
2010-RO-065,2010,RO,Ibope,28-30/08,146.0,7,duas_mencoes_agregadas,False,False,2010-10-02T07:00:00-03:00,https://www.congressoemfoco.com.br/noticia/82698/a-disputa-para-o-senado-estado-por-estado,"Ibope 28-30/08 - Ivo Cassol (PP) 52%, Valdir Raupp (PMDB) 47%, Fátima Cleide (PT) 26%, Melki Donadon (PHS) 10%, Agnaldo Muniz (PSC) 8%, Aluizio Vidal (Psol) 2%, Pimenta de Rondônia (Psol) 1%."
2010-RO-066,2010,RO,Ibope,27-29/08,135.0,6,duas_mencoes_agregadas,False,False,2010-10-02T07:00:00-03:00,https://www.congressoemfoco.com.br/noticia/82698/a-disputa-para-o-senado-estado-por-estado,"Ibope 27-29/08 - Ivo Cassol (PP) 45%, Valdir Raupp (PMDB) 39%, Fátima Cleide (PT) 29%, Melki Donadon (PHS) 10%, Agnaldo Muniz (PSC) 7%, Aluizio Vidal (Psol) 5%."
2010-RR-067,2010,RR,Phoenix,06-09/09,76.08,5,nao_identificado,False,False,2010-10-02T07:00:00-03:00,https://www.congressoemfoco.com.br/noticia/82698/a-disputa-para-o-senado-estado-por-estado,"Phoenix 06-09/09 - Romero Jucá (PMDB) 30,88%, Ângela Portela (PT) 23,66%, Marluce Pinto (PSDB) 14,94%, Telmário Mota (PDT) 4,23%, Hiran Gonçalves (PHS) 2,37%."
2010-RR-068,2010,RR,Ibope,28-30/08,160.0,7,duas_mencoes_agregadas,False,False,2010-10-02T07:00:00-03:00,https://www.congressoemfoco.com.br/noticia/82698/a-disputa-para-o-senado-estado-por-estado,"Ibope 28-30/08 - Romero Jucá (PMDB) 53%, Ângela Portela (PT) 47%, Marluce Pinto (PSDB) 40%, Telmário Mota (PDT) 11%, Aimberê Freitas (PV) 4%, Hiran Gonçalves (PHS) 4%, Jorge Schwinden (Psol) 1%."
2010-RR-069,2010,RR,Ibope,27-29/07,145.0,8,duas_mencoes_agregadas,False,False,2010-10-02T07:00:00-03:00,https://www.congressoemfoco.com.br/noticia/82698/a-disputa-para-o-senado-estado-por-estado,"Ibope 27-29/07 - Romero Jucá (PMDB) 52%, Marluce Pinto (PSDB) 41%, Ângela Portela (PT) 36%, Telmário Mota (PDT) 8%, Hiran Gonçalves (PHS) 4%, Aimberê Freitas (PV) 2%, Leopoldo Junior (PCO) 1%, Lauro Barreto (PHS) 1%."
2010-SC-070,2010,SC,Ibope,21-23/09,117.0,11,duas_mencoes_agregadas,False,False,2010-10-02T07:00:00-03:00,https://www.congressoemfoco.com.br/noticia/82698/a-disputa-para-o-senado-estado-por-estado,"Ibope 21-23/09 - Luiz Henrique da Silveira (PMDB) 45%, Paulo Bauer (DEM) 25%, Claudio Vignatti (PT) 21%, Hugo Biehl (PP) 11%, Ghizoni (PC do B) 5%, Joaninha (PSTU) 3%, Beth Tiscoski (PP) 3%, Fabiano Piovezan (PV) 1%, Alex (PSTU) 1%, Professor Wesley (PPS) 1%, Paulo Afonso (Psol) 1%."
2010-SC-071,2010,SC,Mapa,15-16/09,120.4,11,duas_mencoes_agregadas,False,False,2010-10-02T07:00:00-03:00,https://www.congressoemfoco.com.br/noticia/82698/a-disputa-para-o-senado-estado-por-estado,"Mapa 15-16/09 - Luiz Henrique da Silveira (PMDB) 40,5%, Paulo Bauer (DEM) 24,9%, Claudio Vignatti (PT) 17,6%, Hugo Biehl (PP) 11,4%, Paulo Afonso (Psol) 9%, Beth Tiscoski (PP) 4,7%, Ghizoni (PC do B) 4,2%, Fabiano Piovezan (PV) 3%, Professor Wesley (PPS) 2,4%, Joaninha (PSTU) 2%, Alex (PSTU) 0,7%."
2010-SC-072,2010,SC,Ibope,07-09/09,114.0,11,duas_mencoes_agregadas,False,False,2010-10-02T07:00:00-03:00,https://www.congressoemfoco.com.br/noticia/82698/a-disputa-para-o-senado-estado-por-estado,"Ibope 07-09/09 - Luiz Henrique da Silveira (PMDB) 45%, Paulo Bauer (DEM) 23%, Claudio Vignatti (PT) 16%, Hugo Biehl (PP) 11%, Joaninha (PSTU) 5%, Beth Tiscoski (PP) 4%, Fabiano Piovezan (PV) 3%, Ghizoni (PC do B) 3%, Paulo Afonso (Psol) 2%, Professor Wesley (PPS) 1%, Alex (PSTU) 1%."
2010-SP-073,2010,SP,Datafolha,28-29/09,152.0,12,duas_mencoes_agregadas,False,False,2010-10-02T07:00:00-03:00,https://www.congressoemfoco.com.br/noticia/82698/a-disputa-para-o-senado-estado-por-estado,"Datafolha 28-29/09 - Netinho de Paula (PCdoB) 39%, Marta Suplicy (PT) 37%, Aloysio Nunes Ferreira (PSDB) 29%, Romeu Tuma (PTB) 20%, Ciro Moura (PTC) 8%, Moacyr Franco (PSL) 6%, Ricardo Young (PV) 5%, Ana Luiza (PSTU) 3%, Serpa (PSB) 2%, Marcelo Henrique (Psol) 1%, Afonso Teixeira (PCO) 1%, Dirceu Travesso (PSTU) 1%."
2010-SP-074,2010,SP,Ibope,21-23/09,143.0,11,duas_mencoes_agregadas,False,False,2010-10-02T07:00:00-03:00,https://www.congressoemfoco.com.br/noticia/82698/a-disputa-para-o-senado-estado-por-estado,"Ibope 21-23/09 - Marta Suplicy (PT) 38%, Netinho de Paula (PCdoB) 37%, Aloysio Nunes Ferreira (PSDB) 25%, Romeu Tuma (PTB) 20%, Ciro Moura (PTC) 7%, Moacyr Franco (PSL) 5%, Ricardo Young (PV) 5%, Serpa (PSB) 2%, Ana Luiza (PSTU) 2%, Afonso Teixeira (PCO) 1%, Marcelo Henrique (Psol) 1%."
2010-SP-075,2010,SP,Datafolha,13-14/09,139.0,12,duas_mencoes_agregadas,False,False,2010-10-02T07:00:00-03:00,https://www.congressoemfoco.com.br/noticia/82698/a-disputa-para-o-senado-estado-por-estado,"Datafolha 13-14/09 - Marta Suplicy (PT) 35%, Netinho de Paula (PCdoB) 34%, Romeu Tuma (PTB) 22%, Aloysio Nunes Ferreira (PSDB) 17%, Ciro Moura (PTC) 11%, Moacyr Franco (PSL) 7%, Ana Luiza (PSTU) 3%, Ricardo Young (PV) 3%, Serpa (PSB) 2%, Marcelo Henrique (Psol) 2%, Dirceu Travesso (PSTU) 2%, Afonso Teixeira (PCO) 1% Mazzeo (PCB) 1%."
2010-SE-076,2010,SE,Ibope,20-22/09,135.0,8,duas_mencoes_agregadas,False,False,2010-10-02T07:00:00-03:00,https://www.congressoemfoco.com.br/noticia/82698/a-disputa-para-o-senado-estado-por-estado,"Ibope 20-22/09 - Antônio Carlos Valadares (PSB) 41%, Eduardo Amorim (PSC) 38%, Albano Franco (PSDB) 35%, José Carlos Machado (DEM) 13%, Emanuel Cacho (PPS) 4%, Antônio Leite (PV) 2%, Atamario Cordeiro (Psol) 1%, Gugu Liberato (PRTB) 1%."
2010-SE-077,2010,SE,Soma,02-05/09,129.2,6,duas_mencoes_agregadas,False,False,2010-10-02T07:00:00-03:00,https://www.congressoemfoco.com.br/noticia/82698/a-disputa-para-o-senado-estado-por-estado,"Soma 02-05/09 - Antônio Carlos Valadares (PSB) 44,7%, Albano Franco (PSDB) 37,5%, Eduardo Amorim (PSC) 32,4%, José Carlos Machado (DEM) 11,8%, Antônio Leite (PV) 1,8%, Emanuel Cacho (PPS) 1%."
2010-SE-078,2010,SE,Ibope,24-26/08,109.0,12,duas_mencoes_agregadas,False,False,2010-10-02T07:00:00-03:00,https://www.congressoemfoco.com.br/noticia/82698/a-disputa-para-o-senado-estado-por-estado,"Ibope 24-26/08 - Antônio Carlos Valadares (PSB) 35%, Albano Franco (PSDB) 34%, Eduardo Amorim (PSC) 25%, José Carlos Machado (DEM) 7%, Gugu Liberato (PRTB) 1%, João Augusto Nascimento (PSDC) 1%, Emanuel Cacho (PPS) 1%, Antônio Leite (PV) 1%, Lourdinha (PSTU) 1%, Paulinho da União Tur (PRTB) 1%, Professor Lula (PCB) 1%, Professor Marques (PCB) 1%."
2010-TO-079,2010,TO,Ibope,26-28/09,153.0,4,duas_mencoes_agregadas,False,False,2010-10-02T07:00:00-03:00,https://www.congressoemfoco.com.br/noticia/82698/a-disputa-para-o-senado-estado-por-estado,"Ibope 26-28/09 - João Ribeiro (PR) 49%, Marcelo Miranda (PMDB) 39%, Vicentinho Alves (PR) 35%, Paulo Mourão (PT) 30%."
2010-TO-080,2010,TO,Ibope,18-20/09,149.0,4,duas_mencoes_agregadas,False,False,2010-10-02T07:00:00-03:00,https://www.congressoemfoco.com.br/noticia/82698/a-disputa-para-o-senado-estado-por-estado,"Ibope 18-20/09 - Marcelo Miranda (PMDB) 46%, João Ribeiro (PR) 46%, Paulo Mourão (PT) 29%, Vicentinho Alves (PR) 28%."
2010-TO-081,2010,TO,Serpes,06-10/09,76.0,4,nao_identificado,False,False,2010-10-02T07:00:00-03:00,https://www.congressoemfoco.com.br/noticia/82698/a-disputa-para-o-senado-estado-por-estado,"Serpes 06-10/09 - Marcelo Miranda (PMDB) 22,6%, João Ribeiro (PR) 22,4%, Paulo Mourão (PT) 16,6%, Vicentinho Alves (PR) 14,4%."
