id_rodada,ano,uf,instituto,periodo_campo,candidato_rotulo,percentual,formato_inferido,formato_confirmado,fonte_primaria_confirmada,publicado_em,url
2010-AL-005,2010,AL,Sensus,03-05/09,Benedito de Lira (PP),31.8,duas_mencoes_agregadas,False,False,2010-10-02T07:00:00-03:00,https://www.congressoemfoco.com.br/noticia/82698/a-disputa-para-o-senado-estado-por-estado
2010-AL-005,2010,AL,Sensus,03-05/09,Eduardo Bomfim (PC do B),6.2,duas_mencoes_agregadas,False,False,2010-10-02T07:00:00-03:00,https://www.congressoemfoco.com.br/noticia/82698/a-disputa-para-o-senado-estado-por-estado
2010-AL-005,2010,AL,Sensus,03-05/09,Zé Costa (PPS),4.2,duas_mencoes_agregadas,False,False,2010-10-02T07:00:00-03:00,https://www.congressoemfoco.com.br/noticia/82698/a-disputa-para-o-senado-estado-por-estado
2010-AL-005,2010,AL,Sensus,03-05/09,Afonso Lacerda (PRTB),2.8,duas_mencoes_agregadas,False,False,2010-10-02T07:00:00-03:00,https://www.congressoemfoco.com.br/noticia/82698/a-disputa-para-o-senado-estado-por-estado
2010-AL-005,2010,AL,Sensus,03-05/09,Paulo Nunes (PRTB),2.4,duas_mencoes_agregadas,False,False,2010-10-02T07:00:00-03:00,https://www.congressoemfoco.com.br/noticia/82698/a-disputa-para-o-senado-estado-por-estado
2010-AL-005,2010,AL,Sensus,03-05/09,Alvaro Vasconcelos (PTB),1.8,duas_mencoes_agregadas,False,False,2010-10-02T07:00:00-03:00,https://www.congressoemfoco.com.br/noticia/82698/a-disputa-para-o-senado-estado-por-estado
2010-AL-005,2010,AL,Sensus,03-05/09,Diógenes Paes (PCB),1.0,duas_mencoes_agregadas,False,False,2010-10-02T07:00:00-03:00,https://www.congressoemfoco.com.br/noticia/82698/a-disputa-para-o-senado-estado-por-estado
2010-AL-006,2010,AL,Ibope,21-23/08,Heloisa Helena (Psol),44.0,duas_mencoes_agregadas,False,False,2010-10-02T07:00:00-03:00,https://www.congressoemfoco.com.br/noticia/82698/a-disputa-para-o-senado-estado-por-estado
2010-AL-006,2010,AL,Ibope,21-23/08,Renan Calheiros,42.0,duas_mencoes_agregadas,False,False,2010-10-02T07:00:00-03:00,https://www.congressoemfoco.com.br/noticia/82698/a-disputa-para-o-senado-estado-por-estado
2010-AL-006,2010,AL,Ibope,21-23/08,Benedito de Lira (PP),28.0,duas_mencoes_agregadas,False,False,2010-10-02T07:00:00-03:00,https://www.congressoemfoco.com.br/noticia/82698/a-disputa-para-o-senado-estado-por-estado
2010-AL-006,2010,AL,Ibope,21-23/08,Zé Costa (PPS),4.0,duas_mencoes_agregadas,False,False,2010-10-02T07:00:00-03:00,https://www.congressoemfoco.com.br/noticia/82698/a-disputa-para-o-senado-estado-por-estado
2010-AL-006,2010,AL,Ibope,21-23/08,Eduardo Bomfim (PC do B),2.0,duas_mencoes_agregadas,False,False,2010-10-02T07:00:00-03:00,https://www.congressoemfoco.com.br/noticia/82698/a-disputa-para-o-senado-estado-por-estado
2010-AL-006,2010,AL,Ibope,21-23/08,Alvaro Vasconcelos (PTB),2.0,duas_mencoes_agregadas,False,False,2010-10-02T07:00:00-03:00,https://www.congressoemfoco.com.br/noticia/82698/a-disputa-para-o-senado-estado-por-estado
2010-AL-006,2010,AL,Ibope,21-23/08,Paulo Nunes (PRTB),2.0,duas_mencoes_agregadas,False,False,2010-10-02T07:00:00-03:00,https://www.congressoemfoco.com.br/noticia/82698/a-disputa-para-o-senado-estado-por-estado
